read,delay,Average,Max,Min,Std. Dev,Count > 16.66,Count <= 10
987,4.64,,,,,,
988,10.41,,,,,,
989,7.2,,,,,,
990,4.96,,,,,,
991,9.24,,,,,,
992,6.95,,,,,,
993,4.18,,,,,,
994,9.9,,,,,,
995,7.62,,,,,,
996,11.93,,,,,,
997,9.64,,,,,,
998,7.36,,,,,,
999,4.52,,,,,,
1000,10.04,,,,,,
1001,7.78,,,,,,
1002,12,,,,,,
1003,8.82,,,,,,
1004,6.4,,,,,,
1005,3.9,,,,,,
1006,9.7,,,,,,
1007,7.38,,,,,,
1008,11.43,,,,,,
1009,8.63,,,,,,
1010,5.51,,,,,,
1011,10.71,,,,,,
1012,7.55,,,,,,
1013,5.13,,,,,,
1014,9.75,,,,,,
1015,6.93,,,,,,
1016,4.17,,,,,,
1017,9.36,,,,,,
1018,6.44,,,,,,
1019,10.81,,,,,,
1020,8.28,,,,,,
1021,5.7,,,,,,
1022,11.63,,,,,,
1023,9.27,,,,,,
1024,6.45,,,,,,
1025,10.94,,,,,,
1026,7.79,,,,,,
1027,4.72,,,,,,
1028,10.17,,,,,,
1029,7.08,,,,,,
1030,11.83,,,,,,
1031,9.56,,,,,,
1032,6.62,,,,,,
1033,3.86,,,,,,
1034,9.76,,,,,,
1035,7.4,,,,,,
1036,5.03,,,,,,
1037,9.12,,,,,,
1038,6.51,,,,,,
1039,11.9,,,,,,
1040,9.64,,,,,,
1041,6.79,,,,,,
1042,11.48,,,,,,
1043,8.84,,,,,,
1044,6.5,,,,,,
1045,11.7,,,,,,
1046,8.8,,,,,,
1047,5.82,,,,,,
1048,10.64,,,,,,
1049,8.05,,,,,,
1050,5.27,,,,,,
1051,10.79,,,,,,
1052,7.93,,,,,,
1053,4.83,,,,,,
1054,8.81,,,,,,
1055,6.09,,,,,,
1056,11.72,,,,,,
1057,9.49,,,,,,
1058,7.25,,,,,,
1059,11.78,,,,,,
1060,9.18,,,,,,
1061,6.2,,,,,,
1062,5.02,,,,,,
1063,9.74,,,,,,
1064,6.98,,,,,,
1065,11.08,,,,,,
1066,8.32,,,,,,
1067,5.63,,,,,,
1068,11.02,,,,,,
1069,8.57,,,,,,
1070,5.46,,,,,,
1071,10.35,,,,,,
1072,7.88,,,,,,
1073,5.84,,,,,,
1074,10.45,,,,,,
1075,8.32,,,,,,
1076,5.18,,,,,,
1077,9.32,,,,,,
1078,6.43,,,,,,
1079,3.86,,,,,,
1080,9.25,,,,,,
1081,6.69,,,,,,
1082,11.62,,,,,,
1083,8.88,,,,,,
1084,6.33,,,,,,
1085,11.84,,,,,,
1086,9.02,,,,,,
1087,6.28,,,,,,
1088,10.56,,,,,,
1089,7.62,,,,,,
1090,5,,,,,,
1091,10.06,,,,,,
1092,7.78,,,,,,
1093,5.23,,,,,,
1094,9.94,,,,,,
1095,7.65,,,,,,
1096,4.54,,,,,,
1097,10.42,,,,,,
1098,7.85,,,,,,
1099,5.29,,,,,,
1100,9.8,,,,,,
1101,7.57,,,,,,
1102,4.62,,,,,,
1103,10,,,,,,
1104,7.29,,,,,,
1105,11.45,,,,,,
1106,8.88,,,,,,
1107,6.55,,,,,,
1108,11.57,,,,,,
1109,8.63,,,,,,
1110,6.13,,,,,,
1111,10.72,,,,,,
1112,7.67,,,,,,
1113,4.96,,,,,,
1114,10.26,,,,,,
1115,7.95,,,,,,
1116,4.84,,,,,,
1117,9.55,,,,,,
1118,6.7,,,,,,
1119,4.13,,,,,,
1120,9.22,,,,,,
1121,6.16,,,,,,
1122,10.43,,,,,,
1123,7.46,,,,,,
1124,4.69,,,,,,
1125,9.98,,,,,,
1126,7.13,,,,,,
1127,11.58,,,,,,
1128,8.71,,,,,,
1129,5.61,,,,,,
1130,11.05,,,,,,
1131,8.44,,,,,,
1132,5.31,,,,,,
1133,10.24,,,,,,
1134,7.9,,,,,,
1135,6.45,,,,,,
1136,10.72,,,,,,
1137,8.23,,,,,,
